"hotel_id","hotel_name","city_name","grade","hotel_address","user_rating","review_count","property_type","actual_address","actual_city","actual_prefecture","actual_postal_code","actual_latitude","actual_longitude","actual_phone","actual_star_rating","supplier_hotel_code","rtx_code","agoda_code","expedia_code","top_selling_rank","source_last_mapped_at","actual_data_sources","data_origin"
"H0001","Hotel Ueno East","Tokyo","3","Tokyo 신주쿠","7.1","80","Ryokan","","","","","","","","","","","","","","","","호텔명·도시 및 실제정보 컬럼=사용자 제공 일본 호텔 자료(매칭된 호텔) / 가격·이용자평점·리뷰수·시설·재고=가상"
"H0002","Tokyo Sumidagawa Youth Hostel","Tokyo","4","Tokyo 시부야","7.199999999999999","177","Hotel","","","","","","","","","","","","","","","","호텔명·도시 및 실제정보 컬럼=사용자 제공 일본 호텔 자료(매칭된 호텔) / 가격·이용자평점·리뷰수·시설·재고=가상"
"H0003","Hotel Wing International Premium Tokyo Yotsuya","Tokyo","5","3-14-1, Yotsuya, Shinjuku-ku, Tokyo, Japan","7.3","274","Hotel","3-14-1, Yotsuya, Shinjuku-ku, Tokyo, Japan","Tokyo","","","35.68803995515963","139.7184586951065","81-3-33562111 ","","JPSJK00009","","","","","2025-12-06 23:00:24","Hotellist_supplier_japan_clean.xlsx","호텔명·도시 및 실제정보 컬럼=사용자 제공 일본 호텔 자료(매칭된 호텔) / 가격·이용자평점·리뷰수·시설·재고=가상"
"H0004","Shinjuku Washington Hotel","Tokyo","3","3-2-9, Nishishinjuku, Shinjuku-ku, Tokyo, Japan","7.3999999999999995","371","Hotel","3-2-9, Nishishinjuku, Shinjuku-ku, Tokyo, Japan","Tokyo","","","35.686835508811654","139.69325011135095","81-3-33433111","","JPTYO00088","","","","","2026-06-17 17:24:42","Hotellist_supplier_japan_clean.xlsx","호텔명·도시 및 실제정보 컬럼=사용자 제공 일본 호텔 자료(매칭된 호텔) / 가격·이용자평점·리뷰수·시설·재고=가상"
"H0005","Listel Shinjuku Hotel","Tokyo","4","5-3-20 Shinjuku","7.5","468","Hotel","5-3-20 Shinjuku","Shinjuku-ku","Tokyo","160-0022","35.69306428","139.7113285","81-3-3350-0123","2.5","JPTYO00062","5ejo","42951","2492656","","2025-12-06 23:00:24","Hotellist_supplier_japan_clean.xlsx · RTX JP Hotel template_20260528.xlsx","호텔명·도시 및 실제정보 컬럼=사용자 제공 일본 호텔 자료(매칭된 호텔) / 가격·이용자평점·리뷰수·시설·재고=가상"
"H0006","Shinjuku Prince Hotel","Tokyo","5","1-30-1, Kabuki-Cho, Shinjuku-Ku, Tokyo, Japan","7.6","565","Hotel","1-30-1, Kabuki-Cho, Shinjuku-Ku, Tokyo, Japan","Tokyo","","","35.69446467177624","139.70013225767207","81-3-3205-1111","","JPTYO00136","","","","","2025-12-06 23:00:24","Hotellist_supplier_japan_clean.xlsx","호텔명·도시 및 실제정보 컬럼=사용자 제공 일본 호텔 자료(매칭된 호텔) / 가격·이용자평점·리뷰수·시설·재고=가상"
"H0007","Sotetsu Fresa Inn Higashi Shinjuku","Tokyo","3","7-27-9, Shinjuku, Shinjuku-ku, Tokyo, Japan","7.699999999999999","662","Hotel","7-27-9, Shinjuku, Shinjuku-ku, Tokyo, Japan","Tokyo","","","35.69856138318331","139.7079081134918","81-3-5292-3610","","JPSJK00007","","","","","2025-12-06 23:00:24","Hotellist_supplier_japan_clean.xlsx","호텔명·도시 및 실제정보 컬럼=사용자 제공 일본 호텔 자료(매칭된 호텔) / 가격·이용자평점·리뷰수·시설·재고=가상"
"H0008","Hotel Sunroute Plaza Shinjuku","Tokyo","4","2-3-1 Yoyogi","7.8","759","Hotel","2-3-1 Yoyogi","Shibuya-ku","Tokyo","151-0053","35.68720349","139.6988131","81-3-3375-3211","3.5","JPSJK00004","4Wyc","1935","1699407","2134","2025-12-06 23:00:24","Hotellist_supplier_japan_clean.xlsx · RTX JP Hotel template_20260528.xlsx","호텔명·도시 및 실제정보 컬럼=사용자 제공 일본 호텔 자료(매칭된 호텔) / 가격·이용자평점·리뷰수·시설·재고=가상"
"H0009","Ryokan Sawanoya","Tokyo","5","Tokyo 이케부쿠로","7.8999999999999995","856","Hotel","","","","","","","","","","","","","","","","호텔명·도시 및 실제정보 컬럼=사용자 제공 일본 호텔 자료(매칭된 호텔) / 가격·이용자평점·리뷰수·시설·재고=가상"
"H0010","Annex Katsutaro Ryokan","Tokyo","3","3-8-4 Yanaka Taito-ku 110-0001 Tokyo JP","8.0","953","Hotel","3-8-4 Yanaka Taito-ku 110-0001 Tokyo JP","Tokyo","","","35.72667","139.7647","+0081338282500","","JPTYO00770","","","","","2025-04-30 10:53:50","Hotellist_supplier_japan_clean.xlsx","호텔명·도시 및 실제정보 컬럼=사용자 제공 일본 호텔 자료(매칭된 호텔) / 가격·이용자평점·리뷰수·시설·재고=가상"
