"room_id","hotel_id","guest_count","room_count","room_options","pay_later_flag","free_cancel_flag","room_price","room_type","data_origin"
"R0001_1","H0001","2","1","{""bed_type"":""퀸베드 1개"",""view_type"":""시티뷰"",""size_sqm"":24,""breakfast"":true,""spa"":true,""pool"":true,""balcony"":true,""bathtub"":true,""pet_friendly"":true,""smoking"":true}","0","0","70000","스탠다드 더블","전체 가상 시뮬레이션"
"R0001_2","H0001","3","2","{""bed_type"":""싱글베드 2개"",""view_type"":""가든뷰"",""size_sqm"":33,""breakfast"":false,""spa"":false,""pool"":false,""balcony"":false,""bathtub"":false,""pet_friendly"":false,""smoking"":false}","1","1","95000","디럭스 트윈","전체 가상 시뮬레이션"
"R0001_3","H0001","4","3","{""bed_type"":""킹베드 1개"",""view_type"":""파노라마뷰"",""size_sqm"":42,""breakfast"":true,""spa"":false,""pool"":false,""balcony"":false,""bathtub"":false,""pet_friendly"":false,""smoking"":false}","1","1","120000","프리미엄 스위트","전체 가상 시뮬레이션"
"R0002_1","H0002","2","2","{""bed_type"":""퀸베드 1개"",""view_type"":""시티뷰"",""size_sqm"":24,""breakfast"":false,""spa"":false,""pool"":false,""balcony"":false,""bathtub"":false,""pet_friendly"":false,""smoking"":true}","1","1","75000","스탠다드 더블","전체 가상 시뮬레이션"
"R0002_2","H0002","3","3","{""bed_type"":""싱글베드 2개"",""view_type"":""가든뷰"",""size_sqm"":33,""breakfast"":true,""spa"":false,""pool"":false,""balcony"":false,""bathtub"":false,""pet_friendly"":false,""smoking"":false}","1","1","100000","디럭스 트윈","전체 가상 시뮬레이션"
"R0002_3","H0002","4","4","{""bed_type"":""킹베드 1개"",""view_type"":""파노라마뷰"",""size_sqm"":42,""breakfast"":false,""spa"":true,""pool"":false,""balcony"":true,""bathtub"":true,""pet_friendly"":false,""smoking"":false}","1","0","125000","프리미엄 스위트","전체 가상 시뮬레이션"
"R0003_1","H0003","2","3","{""bed_type"":""퀸베드 1개"",""view_type"":""시티뷰"",""size_sqm"":24,""breakfast"":true,""spa"":false,""pool"":false,""balcony"":false,""bathtub"":false,""pet_friendly"":false,""smoking"":true}","1","1","80000","스탠다드 더블","전체 가상 시뮬레이션"
"R0003_2","H0003","3","4","{""bed_type"":""싱글베드 2개"",""view_type"":""가든뷰"",""size_sqm"":33,""breakfast"":false,""spa"":true,""pool"":false,""balcony"":true,""bathtub"":true,""pet_friendly"":false,""smoking"":false}","1","0","105000","디럭스 트윈","전체 가상 시뮬레이션"
"R0003_3","H0003","4","1","{""bed_type"":""킹베드 1개"",""view_type"":""파노라마뷰"",""size_sqm"":42,""breakfast"":true,""spa"":false,""pool"":true,""balcony"":false,""bathtub"":false,""pet_friendly"":false,""smoking"":false}","0","1","130000","프리미엄 스위트","전체 가상 시뮬레이션"
"R0004_1","H0004","2","4","{""bed_type"":""퀸베드 1개"",""view_type"":""시티뷰"",""size_sqm"":24,""breakfast"":false,""spa"":true,""pool"":false,""balcony"":true,""bathtub"":true,""pet_friendly"":false,""smoking"":true}","1","0","85000","스탠다드 더블","전체 가상 시뮬레이션"
