"search_filter_id","search_id","property_type","property_grade","user_rating_min","price","amenity_count","region","data_origin"
"FQ1pfyOcPu8","Q1pfyOcPu8","","","","100000","1","Tokyo","실제 사용자 선택값"
"FQuiL0Coq14","QuiL0Coq14","","","","100000","0","Tokyo","실제 사용자 선택값"
"FQeRkwNN3Mk","QeRkwNN3Mk","","","","","0","Tokyo","실제 사용자 선택값"
"FQ333t6naRT","Q333t6naRT","","","","100000","0","Tokyo","실제 사용자 선택값"
"FQdPLnzMcro","QdPLnzMcro","","","","","0","Tokyo","실제 사용자 선택값"
"FQ0CqLhuf7C","Q0CqLhuf7C","","","","","0","Tokyo","실제 사용자 선택값"
"FQDX2vny39Z","QDX2vny39Z","","","","100000","5","Tokyo","실제 사용자 선택값"
"FQN1X76RVBO","QN1X76RVBO","","","","50000","5","Tokyo","실제 사용자 선택값"
"FQX121uaX47","QX121uaX47","","","","50000","5","Tokyo","실제 사용자 선택값"
"FQZ0FLsEEjB","QZ0FLsEEjB","","","","50000","5","Tokyo · 아사쿠사","실제 사용자 선택값"
"FQYMZRtxiN1","QYMZRtxiN1","","","","50000","4","Tokyo · 아사쿠사","실제 사용자 선택값"
"FQ3Hfff0KOt","Q3Hfff0KOt","","","","100000","6","Tokyo · 아사쿠사","실제 사용자 선택값"
"FQefYYCEICl","QefYYCEICl","","","","100000","6","Tokyo · 아사쿠사","실제 사용자 선택값"
"FQXGIMCtkhO","QXGIMCtkhO","","","","100000","6","Tokyo · 아사쿠사","실제 사용자 선택값"
"FQiwm8UtB3w","Qiwm8UtB3w","","","","100000","6","Tokyo · 아사쿠사","실제 사용자 선택값"
"FQAQw9jvcsH","QAQw9jvcsH","","","","100000","7","Tokyo · 아사쿠사","실제 사용자 선택값"
"FQj5hOg14KD","Qj5hOg14KD","","","","","0","","실제 사용자 선택값"
"FQG3wnGoEio","QG3wnGoEio","","","","","0","Tokyo · 신주쿠","실제 사용자 선택값"
"FQyjT2lTKiZ","QyjT2lTKiZ","","","","","0","","실제 사용자 선택값"
"FQwpBL0B7xv","QwpBL0B7xv","","","","100000","0","Tokyo · 시부야","실제 사용자 선택값"
"FQ6XsVH2R7b","Q6XsVH2R7b","","","","50000","0","Tokyo · 시부야","실제 사용자 선택값"
"FQ5Dnb16eDZ","Q5Dnb16eDZ","","","","","0","","실제 사용자 선택값"
"FQ1DYroXNJw","Q1DYroXNJw","","","","","0","Tokyo · 시부야","실제 사용자 선택값"
"FQquEimEOU8","QquEimEOU8","","","","","0","","실제 사용자 선택값"
"FQGrCdiIQAv","QGrCdiIQAv","","","","","0","Sapporo","실제 사용자 선택값"
"FQt5N1QrO1F","Qt5N1QrO1F","","","","","0","Tokyo · 시부야","실제 사용자 선택값"
"FQwSVJLo6n3","QwSVJLo6n3","","","","","0","","실제 사용자 선택값"
"FQx444Zmlxf","Qx444Zmlxf","","","","200000","0","Osaka","실제 사용자 선택값"
"FQoFm0DeKO2","QoFm0DeKO2","","","8.0","200000","7","Osaka · 우메다","실제 사용자 선택값"
"FQpbPzLGpbQ","QpbPzLGpbQ","","","8.0","200000","7","Osaka · 우메다","실제 사용자 선택값"
"FQKV74qmXN4","QKV74qmXN4","","","8.0","200000","7","Osaka · 우메다","실제 사용자 선택값"
"FQuWhrCRuRZ","QuWhrCRuRZ","","","","","0","Osaka · 우메다","실제 사용자 선택값"
"FQ18KTaGj8e","Q18KTaGj8e","","","9.0","","1","","실제 사용자 선택값"
"FQ9NAGk8lOS","Q9NAGk8lOS","","","","","0","","실제 사용자 선택값"
"FQcvPBwoECR","QcvPBwoECR","","","8.0","250000","5","","실제 사용자 선택값"
"FQHiWt5hbZX","QHiWt5hbZX","","","8.0","250000","5","","실제 사용자 선택값"
"FQcBd8Dn3Iq","QcBd8Dn3Iq","","","8.0","250000","5","","실제 사용자 선택값"
"FQZAYOIWt5J","QZAYOIWt5J","","","","","0","","실제 사용자 선택값"
"FQqIN8jULWE","QqIN8jULWE","","","","","0","","실제 사용자 선택값"
"FQSCxutafBO","QSCxutafBO","","","8.0","150000","4","Tokyo · 긴자·도쿄역","실제 사용자 선택값"
"FQkr9D9yZ1F","Qkr9D9yZ1F","","","8.0","150000","6","Tokyo · 긴자·도쿄역","실제 사용자 선택값"
"FQvMl8p2z9A","QvMl8p2z9A","","","8.0","150000","6","Tokyo · 긴자·도쿄역","실제 사용자 선택값"
"FQQy7zgkxJY","QQy7zgkxJY","","","8.0","150000","6","Tokyo · 긴자·도쿄역","실제 사용자 선택값"
"FQgA14vqfSP","QgA14vqfSP","","","8.0","150000","6","Tokyo · 긴자·도쿄역","실제 사용자 선택값"
"FQrJ738MBMH","QrJ738MBMH","","","8.0","150000","6","Tokyo · 긴자·도쿄역","실제 사용자 선택값"
"FQe3uY6H1Ix","Qe3uY6H1Ix","","","","","0","Tokyo · 긴자·도쿄역","실제 사용자 선택값"
"FQOL6MOrUPe","QOL6MOrUPe","","","9.0","200000","0","Tokyo · 시부야","실제 사용자 선택값"
"FQ3lldU1XCw","Q3lldU1XCw","","","9.0","200000","0","Tokyo · 시부야","실제 사용자 선택값"
"FQIO26lhj6N","QIO26lhj6N","","","9.0","200000","3","Tokyo · 시부야","실제 사용자 선택값"
"FQCpqajkxl2","QCpqajkxl2","","","9.0","200000","4","Tokyo · 시부야","실제 사용자 선택값"
"FQD8mraWVi4","QD8mraWVi4","","","","","0","Tokyo · 시부야","실제 사용자 선택값"
"FQwcHLdY10x","QwcHLdY10x","","","9.0","200000","3","Tokyo","실제 사용자 선택값"
"FQwa7ToFcYm","Qwa7ToFcYm","","","","","0","Tokyo","실제 사용자 선택값"
"FQ8AHm6zzeG","Q8AHm6zzeG","","","","","0","Tokyo","실제 사용자 선택값"
"FQ6k4EdqUNa","Q6k4EdqUNa","","","9.0","200000","3","Tokyo · 아사쿠사","실제 사용자 선택값"
"FQOVqoD2Qm8","QOVqoD2Qm8","","","9.0","200000","3","Tokyo · 아사쿠사","실제 사용자 선택값"
"FQ7C7RIN0So","Q7C7RIN0So","","","9.0","200000","3","Tokyo · 아사쿠사","실제 사용자 선택값"
"FQDKDmc94SM","QDKDmc94SM","","","9.0","200000","3","Tokyo · 아사쿠사","실제 사용자 선택값"
"FQcNyMIRiV2","QcNyMIRiV2","","","9.0","200000","3","Tokyo · 아사쿠사","실제 사용자 선택값"
"FQSRcIYy6Fm","QSRcIYy6Fm","","","9.0","200000","5","Tokyo · 아사쿠사","실제 사용자 선택값"
"FQVXDvxv83S","QVXDvxv83S","","","9.0","200000","5","Tokyo · 아사쿠사","실제 사용자 선택값"
"FQvZ57g7PO8","QvZ57g7PO8","","","9.0","200000","6","Tokyo · 아사쿠사","실제 사용자 선택값"
"FQ1hGCBSS5A","Q1hGCBSS5A","","","9.0","200000","6","Tokyo · 아사쿠사","실제 사용자 선택값"
"FQ9F9rBREM8","Q9F9rBREM8","","","9.0","200000","6","Tokyo · 아사쿠사","실제 사용자 선택값"
"FQfRK4ebqHF","QfRK4ebqHF","","","","","0","Tokyo · 아사쿠사","실제 사용자 선택값"
"FQJaBJG5wb3","QJaBJG5wb3","","","","200000","1","Fukuoka · 후쿠오카공항","실제 사용자 선택값"
"FQJnkm4HV1r","QJnkm4HV1r","","","8.0","200000","1","Fukuoka · 후쿠오카공항","실제 사용자 선택값"
"FQ7MNnGAQ4M","Q7MNnGAQ4M","","","8.0","200000","1","Fukuoka · 후쿠오카공항","실제 사용자 선택값"
"FQHA91KkPlz","QHA91KkPlz","","","8.0","200000","4","Fukuoka · 후쿠오카공항","실제 사용자 선택값"
"FQxeYMVXn1u","QxeYMVXn1u","","","","","0","Fukuoka · 후쿠오카공항","실제 사용자 선택값"
"FQgOAz8QOQt","QgOAz8QOQt","","","8.0","","4","Tokyo · 아사쿠사","실제 사용자 선택값"
"FQAb1vZ4GAk","QAb1vZ4GAk","","","8.0","","4","Tokyo · 아사쿠사","실제 사용자 선택값"
"FQt4HZi0lkI","Qt4HZi0lkI","","","8.0","","4","Tokyo · 시부야","실제 사용자 선택값"
"FQhNXUk5Q17","QhNXUk5Q17","","","8.0","","3","Tokyo · 시부야","실제 사용자 선택값"
"FQzW6pHMQvO","QzW6pHMQvO","","","8.0","300000","3","Tokyo · 시부야","실제 사용자 선택값"
"FQdQm7TB7Bh","QdQm7TB7Bh","","","8.0","300000","3","Tokyo · 아사쿠사","실제 사용자 선택값"
"FQlQV4DpnY7","QlQV4DpnY7","","","8.0","300000","3","Tokyo · 아사쿠사","실제 사용자 선택값"
"FQJJ5euyNY6","QJJ5euyNY6","","","8.0","300000","4","Tokyo · 아사쿠사","실제 사용자 선택값"
"FQTcSQ3UTG9","QTcSQ3UTG9","","","8.0","300000","4","Tokyo · 아사쿠사","실제 사용자 선택값"
"FQ5g1usJmNO","Q5g1usJmNO","","","","","0","Tokyo · 아사쿠사","실제 사용자 선택값"
"FQH7peFLBoy","QH7peFLBoy","","","","","0","Tokyo · 아사쿠사","실제 사용자 선택값"
"FQtg4AuTk80","Qtg4AuTk80","","","","","0","","실제 사용자 선택값"
"FQfTXekQDfJ","QfTXekQDfJ","","","","","1","Osaka · 베이 에어리어","실제 사용자 선택값"
"FQue6VVbeMu","Que6VVbeMu","","","","","1","Osaka · 베이 에어리어","실제 사용자 선택값"
"FQQi1j1K7dx","QQi1j1K7dx","","","","","1","Osaka · 우메다","실제 사용자 선택값"
"FQl67r81EpA","Ql67r81EpA","","","","","1","Osaka · 우메다","실제 사용자 선택값"
"FQ1E16J31sl","Q1E16J31sl","","","","","1","Sapporo · 삿포로역","실제 사용자 선택값"
"FQ5OhEcNvDL","Q5OhEcNvDL","","","","","0","Sapporo · 삿포로역","실제 사용자 선택값"
"FQ0hj3lX3d2","Q0hj3lX3d2","","","","","1","Osaka · 우메다","실제 사용자 선택값"
"FQ7KYhEjXuF","Q7KYhEjXuF","","","","","0","Sapporo · 조잔케이","실제 사용자 선택값"
"FQD19rpKLBu","QD19rpKLBu","","","","","0","Sapporo · 삿포로역","실제 사용자 선택값"
"FQKasDgCgMX","QKasDgCgMX","","","","","0","Sapporo · 삿포로역","실제 사용자 선택값"
"FQivme9BcfI","Qivme9BcfI","","","","","1","Sapporo · 스스키노","실제 사용자 선택값"
"FQFeDedfFiH","QFeDedfFiH","","","","","0","Sapporo · 스스키노","실제 사용자 선택값"
"FQzEPjGbPin","QzEPjGbPin","","","","","0","Sapporo · 스스키노","실제 사용자 선택값"
"FQB3WlYYqhr","QB3WlYYqhr","","","9.0","","1","Osaka · 우메다","실제 사용자 선택값"
"FQ4ojVzeYmP","Q4ojVzeYmP","","","9.0","","1","Osaka · 우메다","실제 사용자 선택값"
"FQz8qULWeAO","Qz8qULWeAO","","","9.0","","0","Osaka · 우메다","실제 사용자 선택값"
"FQFE89HVGJy","QFE89HVGJy","","","","","0","Osaka · 우메다","실제 사용자 선택값"
"FQyiluUQR6w","QyiluUQR6w","","","9.0","150000","0","Tokyo · 긴자·도쿄역","실제 사용자 선택값"
"FQ2r2D0t4EI","Q2r2D0t4EI","","","9.0","150000","0","Tokyo · 긴자·도쿄역","실제 사용자 선택값"
"FQ144xkNQ66","Q144xkNQ66","","","9.0","150000","8","Tokyo · 긴자·도쿄역","실제 사용자 선택값"
"FQrOH8Wh0MU","QrOH8Wh0MU","","","9.0","150000","8","Tokyo · 긴자·도쿄역","실제 사용자 선택값"
"FQABMEZ2Lmp","QABMEZ2Lmp","","","9.0","150000","8","Tokyo · 긴자·도쿄역","실제 사용자 선택값"
"FQMya34Dtrx","QMya34Dtrx","","","9.0","150000","8","Tokyo · 긴자·도쿄역","실제 사용자 선택값"
"FQLrcXogjG4","QLrcXogjG4","","","","","0","Tokyo · 긴자·도쿄역","실제 사용자 선택값"
"FQbBJTBUPa4","QbBJTBUPa4","","","9.0","100000","4","Osaka · 난바","실제 사용자 선택값"
"FQKllNtGPha","QKllNtGPha","","","9.0","150000","4","Osaka · 난바","실제 사용자 선택값"
"FQE7r3ta0u4","QE7r3ta0u4","","","9.0","150000","4","Osaka · 난바","실제 사용자 선택값"
"FQa0fMoODEd","Qa0fMoODEd","","","9.0","150000","2","Osaka · 도톤보리","실제 사용자 선택값"
"FQGGpgMQ4v5","QGGpgMQ4v5","","","8.0","100000","3","Osaka · 도톤보리","실제 사용자 선택값"
"FQvaUyoaO1v","QvaUyoaO1v","","","8.0","100000","4","Osaka · 도톤보리","실제 사용자 선택값"
"FQJ5UwonmAd","QJ5UwonmAd","","","8.0","100000","7","Osaka · 도톤보리","실제 사용자 선택값"
"FQgJG1BMi66","QgJG1BMi66","","","8.0","100000","7","Osaka · 도톤보리","실제 사용자 선택값"
"FQPBoqRdZbv","QPBoqRdZbv","","","","","0","Osaka · 도톤보리","실제 사용자 선택값"
"FQ8F2x5T73e","Q8F2x5T73e","","","","","0","Osaka","실제 사용자 선택값"
"FQUtMXdv6ob","QUtMXdv6ob","","","8.0","400000","5","Osaka","실제 사용자 선택값"
"FQQePBK5z8x","QQePBK5z8x","","","8.0","400000","4","Osaka","실제 사용자 선택값"
"FQTFeF2EU9i","QTFeF2EU9i","","","8.0","300000","4","Osaka","실제 사용자 선택값"
"FQtwAVcibe6","QtwAVcibe6","","","8.0","300000","4","Osaka","실제 사용자 선택값"
"FQyOpiHRmKC","QyOpiHRmKC","","","8.0","300000","4","Osaka","실제 사용자 선택값"
"FQt0WKa0SLV","Qt0WKa0SLV","","","","","0","Osaka","실제 사용자 선택값"
"FQx8ZxQys2h","Qx8ZxQys2h","","","","","2","Tokyo","실제 사용자 선택값"
"FQwnjNndIom","QwnjNndIom","","","","","14","Tokyo · 시부야","실제 사용자 선택값"
"FQsD7Y2RjXZ","QsD7Y2RjXZ","","","","","0","Tokyo · 시부야","실제 사용자 선택값"
"FQrZAOp2NGj","QrZAOp2NGj","","","","","0","Osaka · 혼마치","실제 사용자 선택값"
"FQ3NxstM9ZB","Q3NxstM9ZB","","","","","0","Osaka · 혼마치","실제 사용자 선택값"
"FQ1blO4uG1n","Q1blO4uG1n","","","7.0","500000","6","Tokyo · 긴자·도쿄역","실제 사용자 선택값"
"FQLf7Ck6UwJ","QLf7Ck6UwJ","","","9.0","500000","6","Tokyo · 긴자·도쿄역","실제 사용자 선택값"
"FQhzNheB7lJ","QhzNheB7lJ","","","9.0","500000","6","Tokyo · 긴자·도쿄역","실제 사용자 선택값"
