"search_result_id","search_id","hotel_id","room_id","result_score","result_rank","price_rank","data_origin"
"XE0g7eNjiqU","Q1pfyOcPu8","H0196","R0196_1","100.0","1","16","실제 노출 로그 / 점수·순위는 실험용"
"XERCZNzqHls","Q1pfyOcPu8","H0195","R0195_1","99.0","2","11","실제 노출 로그 / 점수·순위는 실험용"
"XENOnkXNxsp","Q1pfyOcPu8","H0055","R0055_1","98.0","3","26","실제 노출 로그 / 점수·순위는 실험용"
"XEokej59SJx","Q1pfyOcPu8","H0194","R0194_1","97.0","4","6","실제 노출 로그 / 점수·순위는 실험용"
"XE16jDJ573N","Q1pfyOcPu8","H0193","R0193_1","96.0","5","1","실제 노출 로그 / 점수·순위는 실험용"
"XENgl10UVCU","Q1pfyOcPu8","H0053","R0053_1","95.0","6","21","실제 노출 로그 / 점수·순위는 실험용"
"XEmZ1zBcgcU","Q1pfyOcPu8","H0052","R0052_1","94.0","7","17","실제 노출 로그 / 점수·순위는 실험용"
"XEySQW0vqIj","Q1pfyOcPu8","H0051","R0051_1","93.0","8","12","실제 노출 로그 / 점수·순위는 실험용"
"XEXtluekV0g","Q1pfyOcPu8","H0050","R0050_1","92.0","9","7","실제 노출 로그 / 점수·순위는 실험용"
"XE5dmu2i6QH","Q1pfyOcPu8","H0049","R0049_1","91.0","10","2","실제 노출 로그 / 점수·순위는 실험용"
"XEz6HkaU466","Q1pfyOcPu8","H0103","R0103_1","90.0","11","27","실제 노출 로그 / 점수·순위는 실험용"
"XEVqOAAlfB1","Q1pfyOcPu8","H0101","R0101_1","89.0","12","22","실제 노출 로그 / 점수·순위는 실험용"
"XEHI0jwsK5R","Q1pfyOcPu8","H0100","R0100_1","88.0","13","18","실제 노출 로그 / 점수·순위는 실험용"
"XEJ7CV9G5ve","Q1pfyOcPu8","H0099","R0099_1","87.0","14","13","실제 노출 로그 / 점수·순위는 실험용"
"XENJummf3jy","Q1pfyOcPu8","H0098","R0098_1","86.0","15","8","실제 노출 로그 / 점수·순위는 실험용"
