"테이블","컬럼","현재 저장 방식","전체 행","고유값","고유값 비율","NULL 비율","평균/최대 문자열 길이","분류","사전 매핑 효과","증강 시 예상 문제","권장 저장 방식","판단 근거"
"ActionEvent","event_id","INTEGER","2152148","2152148","100.0000%","0.0000%","해당 없음","원본 TEXT ID를 정수 순번으로 변환","없음","분석용 정수키 사용; 재증강은 원본 생성기에서 실행","INTEGER PK/FK 유지","현재 정수 관계키이며 FK 검증 0건; 원문 ID 역매핑은 불가"
"ActionEvent","user_id","INTEGER","2152148","10000","0.4647%","0.0000%","해당 없음","원본 TEXT ID를 정수 순번으로 변환","없음","분석용 정수키 사용; 재증강은 원본 생성기에서 실행","INTEGER PK/FK 유지","현재 정수 관계키이며 FK 검증 0건; 원문 ID 역매핑은 불가"
"ActionEvent","session_id","INTEGER","2152148","10000","0.4647%","0.0000%","해당 없음","원본 TEXT ID를 정수 순번으로 변환","없음","분석용 정수키 사용; 재증강은 원본 생성기에서 실행","INTEGER PK/FK 유지","현재 정수 관계키이며 FK 검증 0건; 원문 ID 역매핑은 불가"
"ActionEvent","search_id","INTEGER","2152148","65355","3.0367%","0.4647%","해당 없음","원본 TEXT ID를 정수 순번으로 변환","없음","분석용 정수키 사용; 재증강은 원본 생성기에서 실행","INTEGER PK/FK 유지","현재 정수 관계키이며 FK 검증 0건; 원문 ID 역매핑은 불가"
"ActionEvent","hotel_id","INTEGER","2152148","1000","0.0465%","3.5014%","해당 없음","원본 TEXT ID를 정수 순번으로 변환","없음","분석용 정수키 사용; 재증강은 원본 생성기에서 실행","INTEGER PK/FK 유지","현재 정수 관계키이며 FK 검증 0건; 원문 ID 역매핑은 불가"
"ActionEvent","event_type","TEXT","2152148","5","0.0002%","0.0000%","15.84/17","추가 확인 필요","높음: 5개 문자열이 2,152,148행 반복","새 값 처리 규칙 필요","고정 정수코드+외부 코드표 검토","5개 값이 215만 행 반복되어 절감 큼; 생성기·BI 호환 확인 필요"
"ActionEvent","event_at","TEXT","2152148","496717","23.0801%","0.0000%","25.00/25","추가 확인 필요","중간 가능, 신규값 관리비용 높음","생성기 호환성 추가 확인 필요","생성기 시간 계약 확인 전 TEXT 유지","고유값이 계속 증가하므로 사전 관리 부적합; epoch 변환은 코드 호환 확인 필요"
"ActionEvent","review_completed_at","TEXT","2152148","0","0.0000%","100.0000%","해당 없음","증강 대상에서 제외","없음","근거 없이 합성하면 의미 왜곡","현재 NULL 유지","전 행 NULL이고 현재 분석 근거 없음"
"ActionEvent","review_text","TEXT","2152148","0","0.0000%","100.0000%","해당 없음","증강 대상에서 제외","없음","근거 없이 합성하면 의미 왜곡","현재 NULL 유지","전 행 NULL이고 현재 분석 근거 없음"
"Booking","booking_id","INTEGER","0","0","해당 없음","해당 없음","해당 없음","증강 대상에서 제외","없음","특이사항 없음","빈 테이블 유지 또는 승인 후 별도 생성","현재 0행이며 예약 연결 규칙이 승인되지 않음"
