arm,metric,numerator,denominator,rate
control,검색 0건률,16761,33572,0.49925533182413917
control,0건 후속검색률,15935,16761,0.9507189308513811
control,즉시 회복률(NSM 후보),2693,15935,0.16899905867587073
control,첫 Z 즉시 회복률,351,3073,0.11422063130491376
control,최종 회복률,2376,3202,0.7420362273579013
control,Card H-SEARCH,3330,16811,0.19808458747248825
treatment,검색 0건률,13853,31783,0.4358619387722997
treatment,0건 후속검색률,13249,13853,0.956399335883924
treatment,즉시 회복률(NSM 후보),2918,13249,0.22024303721035549
treatment,첫 Z 즉시 회복률,487,3067,0.1587870883599609
treatment,최종 회복률,2560,3164,0.809102402022756
treatment,Card H-SEARCH,3504,17930,0.19542665923034022
