dimension,segment,searches,control_zero_pct,treatment_zero_pct,difference_pp
price_group,0,16076,51.1611704598235,42.229367631296896,-8.931802828526608
price_group,1,49279,49.499198717948715,44.002631687158186,-5.496567030790528
opt_group,0,16259,49.7754036663834,43.779606083271005,-5.995797583112389
opt_group,1,16113,50.57125676488275,43.85739933316235,-6.713857431720394
opt_group,2+,32983,49.68272620446533,43.35651193384702,-6.326214270618314
region_group,coastal,16439,50.27887520334651,44.184858930167245,-6.094016273179265
region_group,inland,15777,48.64662591992017,43.01546391752578,-5.6311620023943965
region_group,island,16531,49.85285462036492,44.25087108013937,-5.601983540225552
region_group,metro,16608,50.851667849538686,42.89919058130979,-7.952477268228897
risk_group,high,21290,49.86864752242051,44.53224075699932,-5.336406765421192
risk_group,low,21891,50.16798329247253,42.930685787828644,-7.237297504643886
risk_group,medium,22174,49.748263888888886,43.34522245166135,-6.403041437227541
