search_id,session_id,impression_count,click_count,detail_count,first_event_at,last_event_at,has_impression,has_click,has_detail
Q1pfyOcPu8,Sb8HrR5rXR,30,6,6,2026-08-31 19:43:27,2026-08-31 19:44:11,True,True,True
QuiL0Coq14,Sb8HrR5rXR,35,0,0,2026-08-31 19:43:19,2026-08-31 19:43:19,True,False,False
QeRkwNN3Mk,Sb8HrR5rXR,200,0,0,2026-08-31 19:43:12,2026-08-31 19:43:12,True,False,False
Q333t6naRT,Sb8HrR5rXR,18,6,6,2026-08-31 19:41:27,2026-08-31 19:42:07,True,True,True
QdPLnzMcro,Sb8HrR5rXR,200,0,0,2026-08-31 19:41:14,2026-08-31 19:41:14,True,False,False
Q0CqLhuf7C,Sb8HrR5rXR,200,0,0,2026-08-31 19:41:02,2026-08-31 19:41:02,True,False,False
QDX2vny39Z,Sb8HrR5rXR,5,0,0,2026-08-31 19:40:57,2026-08-31 19:40:57,True,False,False
QN1X76RVBO,Sb8HrR5rXR,0,0,0,2026-08-31 19:40:49,2026-08-31 19:40:49,False,False,False
QX121uaX47,Sb8HrR5rXR,0,0,0,2026-08-31 19:40:44,2026-08-31 19:40:44,False,False,False
QZ0FLsEEjB,Sb8HrR5rXR,0,0,0,2026-08-31 19:40:36,2026-08-31 19:40:36,False,False,False
QYMZRtxiN1,Sb8HrR5rXR,0,0,0,2026-08-31 19:40:31,2026-08-31 19:40:31,False,False,False
Q3Hfff0KOt,Sb8HrR5rXR,0,0,0,2026-08-31 19:40:12,2026-08-31 19:40:12,False,False,False
QefYYCEICl,Sb8HrR5rXR,0,0,0,2026-08-31 19:39:57,2026-08-31 19:39:57,False,False,False
QXGIMCtkhO,Sb8HrR5rXR,0,0,0,2026-08-31 19:39:50,2026-08-31 19:39:50,False,False,False
Qiwm8UtB3w,Sb8HrR5rXR,0,0,0,2026-08-31 19:39:44,2026-08-31 19:39:44,False,False,False
QAQw9jvcsH,Sb8HrR5rXR,0,0,0,2026-08-31 19:39:33,2026-08-31 19:39:33,False,False,False
Qj5hOg14KD,Sb8HrR5rXR,1000,0,0,2026-08-31 19:38:28,2026-08-31 19:38:28,True,False,False
