search_id,session_id,search_time,query_text,checkin_date,checkout_date,total_result_count,sort_option,guest_count,destination,search_data_origin,search_filter_id,property_type,property_grade,user_rating_min,price,amenity_count,region,filter_data_origin
Q1pfyOcPu8,Sb8HrR5rXR,2026-08-31 19:43:27,,2026-10-03 00:00:00,2026-10-05 00:00:00,30,rating,2,Tokyo,실제 사용자 입력·검색 로그,FQ1pfyOcPu8,,,,100000.0,1,Tokyo,실제 사용자 선택값
QuiL0Coq14,Sb8HrR5rXR,2026-08-31 19:43:19,,2026-10-03 00:00:00,2026-10-05 00:00:00,35,rating,2,Tokyo,실제 사용자 입력·검색 로그,FQuiL0Coq14,,,,100000.0,0,Tokyo,실제 사용자 선택값
QeRkwNN3Mk,Sb8HrR5rXR,2026-08-31 19:43:12,,2026-10-03 00:00:00,2026-10-05 00:00:00,200,rating,2,Tokyo,실제 사용자 입력·검색 로그,FQeRkwNN3Mk,,,,,0,Tokyo,실제 사용자 선택값
Q333t6naRT,Sb8HrR5rXR,2026-08-31 19:41:27,,2026-10-03 00:00:00,2026-09-17 00:00:00,18,rating,2,Tokyo,실제 사용자 입력·검색 로그,FQ333t6naRT,,,,100000.0,0,Tokyo,실제 사용자 선택값
QdPLnzMcro,Sb8HrR5rXR,2026-08-31 19:41:14,,2026-10-03 00:00:00,2026-09-17 00:00:00,200,rating,2,Tokyo,실제 사용자 입력·검색 로그,FQdPLnzMcro,,,,,0,Tokyo,실제 사용자 선택값
Q0CqLhuf7C,Sb8HrR5rXR,2026-08-31 19:41:02,,2026-10-03 00:00:00,2026-09-17 00:00:00,200,rating,2,Tokyo,실제 사용자 입력·검색 로그,FQ0CqLhuf7C,,,,,0,Tokyo,실제 사용자 선택값
QDX2vny39Z,Sb8HrR5rXR,2026-08-31 19:40:57,도쿄,2026-10-03 00:00:00,2026-09-17 00:00:00,5,reviews,2,Tokyo,실제 사용자 입력·검색 로그,FQDX2vny39Z,,,,100000.0,5,Tokyo,실제 사용자 선택값
QN1X76RVBO,Sb8HrR5rXR,2026-08-31 19:40:49,도쿄,2026-10-03 00:00:00,2026-09-17 00:00:00,0,reviews,2,Tokyo,실제 사용자 입력·검색 로그,FQN1X76RVBO,,,,50000.0,5,Tokyo,실제 사용자 선택값
QX121uaX47,Sb8HrR5rXR,2026-08-31 19:40:44,도쿄,2026-10-03 00:00:00,2026-09-17 00:00:00,0,reviews,2,Tokyo,실제 사용자 입력·검색 로그,FQX121uaX47,,,,50000.0,5,Tokyo,실제 사용자 선택값
QZ0FLsEEjB,Sb8HrR5rXR,2026-08-31 19:40:36,도쿄,2026-10-03 00:00:00,2026-09-17 00:00:00,0,reviews,2,Tokyo · 아사쿠사,실제 사용자 입력·검색 로그,FQZ0FLsEEjB,,,,50000.0,5,Tokyo · 아사쿠사,실제 사용자 선택값
QYMZRtxiN1,Sb8HrR5rXR,2026-08-31 19:40:31,도쿄,2026-10-03 00:00:00,2026-09-17 00:00:00,0,reviews,2,Tokyo · 아사쿠사,실제 사용자 입력·검색 로그,FQYMZRtxiN1,,,,50000.0,4,Tokyo · 아사쿠사,실제 사용자 선택값
Q3Hfff0KOt,Sb8HrR5rXR,2026-08-31 19:40:12,도쿄,2026-10-03 00:00:00,2026-09-17 00:00:00,0,reviews,2,Tokyo · 아사쿠사,실제 사용자 입력·검색 로그,FQ3Hfff0KOt,,,,100000.0,6,Tokyo · 아사쿠사,실제 사용자 선택값
QefYYCEICl,Sb8HrR5rXR,2026-08-31 19:39:57,도쿄,2026-09-15 00:00:00,2026-09-17 00:00:00,0,reviews,2,Tokyo · 아사쿠사,실제 사용자 입력·검색 로그,FQefYYCEICl,,,,100000.0,6,Tokyo · 아사쿠사,실제 사용자 선택값
QXGIMCtkhO,Sb8HrR5rXR,2026-08-31 19:39:50,도쿄,2026-09-15 00:00:00,2026-09-17 00:00:00,0,reviews,2,Tokyo · 아사쿠사,실제 사용자 입력·검색 로그,FQXGIMCtkhO,,,,100000.0,6,Tokyo · 아사쿠사,실제 사용자 선택값
