session_id,result_segment
S18Lz1cYYu,결과 노출·미선택
S1Wd4jiS4x,직접 성공
S1owF49mXg,직접 성공
S1ubxerzjp,지속 실패
S35n2Yb6bf,재검색 회복
S3kO8XxiWO,직접 성공
S3qXRdxw3F,직접 성공
S4mkEfF6zW,직접 성공
S5uStHxWd1,직접 성공
S6XYxxvSwO,재검색 회복
S7lDQeGcnC,결과 노출·미선택
S8wi9Cgmyj,지속 실패
S91bzuR10O,직접 성공
SA4wocK7sn,재검색 회복
SAGoMPtwtv,직접 성공
SCNuY2yWG3,직접 성공
SDCHJP9GEL,직접 성공
SET0xscWXw,직접 성공
SEyPw9YcYF,직접 성공
SKBbfdVhKm,직접 성공
SPUx28T3TL,결과 노출·미선택
SS5aKl3Qjq,직접 성공
SSDnuZnJUx,직접 성공
STEqUIZTbY,직접 성공
SU4Kh6CjQz,직접 성공
SULtlDqL8H,직접 성공
SVxCzLOlfQ,결과 노출·미선택
SWEbVX9z5m,직접 성공
SWhGA47bqi,결과 노출·미선택
SYtOsNOrtV,결과 노출·미선택
Sb8HrR5rXR,직접 성공
SbCIb6zwy0,직접 성공
SgAP23vVo4,직접 성공
ShtAb53pnr,직접 성공
SiYg4jHrQh,결과 노출·미선택
Siqvgo3iyV,직접 성공
Sjlhv5qbkW,재검색 회복
SkcgUsGdun,결과 노출·미선택
Sl9jy3eBXX,직접 성공
Sm4PrN7cyf,결과 노출·미선택
SnFKQiJIuv,직접 성공
SrO2iKr6xo,결과 노출·미선택
Sy64D5K31o,직접 성공
