session_id,first_search_id,first_search_time,first_result_count,search_count,experienced_zero,first_search_zero,subsequent_recovery,has_hotel_click
S18Lz1cYYu,Q7f2HeFFFW,2026-08-29 10:35:44,20,3,False,False,False,False
S1Wd4jiS4x,QIofE2CcLU,2026-08-28 21:08:48,33,22,True,False,False,True
S1owF49mXg,QXEmuiN91c,2026-08-28 20:35:44,125,8,True,False,False,True
S1ubxerzjp,Q2GRU8o0Nj,2026-08-28 18:32:19,0,10,True,True,False,False
S35n2Yb6bf,QWgnGg4bx4,2026-08-28 20:54:25,0,4,True,True,True,True
S3kO8XxiWO,QfRK4ebqHF,2026-08-30 08:26:12,3,14,True,False,False,True
S3qXRdxw3F,Qre2qYcg89,2026-08-28 18:18:23,20,9,True,False,False,True
S4mkEfF6zW,Q9NAGk8lOS,2026-08-31 09:54:59,200,2,False,False,False,True
S5uStHxWd1,QU5L077FC4,2026-08-28 20:56:01,19,2,False,False,False,True
S6XYxxvSwO,QuWhrCRuRZ,2026-08-31 10:13:42,0,5,True,True,True,False
S7lDQeGcnC,QhM79a9imX,2026-08-28 21:56:54,10,4,True,False,False,False
S8wi9Cgmyj,Qi6IhgLadE,2026-08-29 12:49:10,0,8,True,True,False,False
S91bzuR10O,QxeYMVXn1u,2026-08-30 04:25:37,20,5,True,False,False,True
SA4wocK7sn,QsD7Y2RjXZ,2026-08-29 14:33:01,0,3,True,True,True,True
SAGoMPtwtv,QD0YRMjvrt,2026-08-28 18:54:42,20,11,True,False,False,True
SCNuY2yWG3,QWr1WK9Qt2,2026-08-28 22:05:48,200,2,False,False,False,True
SDCHJP9GEL,Qt0WKa0SLV,2026-08-29 14:57:36,200,7,True,False,False,True
SET0xscWXw,Qu7IZVdIfa,2026-08-28 19:15:02,20,6,True,False,False,True
SEyPw9YcYF,QgVB7GVeCU,2026-08-29 08:32:31,20,1,False,False,False,True
SKBbfdVhKm,Q1DYroXNJw,2026-08-31 16:59:53,20,3,True,False,False,True
SPUx28T3TL,QPBoqRdZbv,2026-08-29 15:19:29,20,9,True,False,False,False
SS5aKl3Qjq,QwSVJLo6n3,2026-08-31 10:27:50,201,3,False,False,False,True
SSDnuZnJUx,QhjQC7ISJ6,2026-08-28 19:30:58,20,2,False,False,False,True
STEqUIZTbY,QyoWpIknRm,2026-08-28 20:19:41,20,7,True,False,False,True
SU4Kh6CjQz,QEUIxt7cQL,2026-08-28 18:20:02,20,14,False,False,False,True
SULtlDqL8H,QBCHAwUJn9,2026-08-29 14:14:16,20,7,True,False,False,True
SVxCzLOlfQ,QD8mraWVi4,2026-08-30 15:57:56,20,5,True,False,False,False
SWEbVX9z5m,QFE89HVGJy,2026-08-29 15:33:46,20,4,False,False,False,True
SWhGA47bqi,Qe3uY6H1Ix,2026-08-30 19:34:10,20,7,True,False,False,False
SYtOsNOrtV,Qls5gz8SJD,2026-08-28 19:26:53,20,2,True,False,False,False
Sb8HrR5rXR,Qj5hOg14KD,2026-08-31 19:38:28,1000,17,True,False,False,True
SbCIb6zwy0,QEhf8Qa94O,2026-08-28 20:20:24,20,18,True,False,False,True
SgAP23vVo4,QyjT2lTKiZ,2026-08-31 17:00:12,10,2,False,False,False,True
ShtAb53pnr,Q5OhEcNvDL,2026-08-30 00:16:35,20,7,True,False,False,True
SiYg4jHrQh,QU2RASM7ei,2026-08-28 18:47:43,20,1,False,False,False,False
Siqvgo3iyV,QH7peFLBoy,2026-08-30 00:47:40,3,11,True,False,False,True
Sjlhv5qbkW,QZAYOIWt5J,2026-08-30 23:57:24,0,5,True,True,True,True
SkcgUsGdun,QzsgiJmvpS,2026-08-29 09:49:16,200,31,True,False,False,False
Sl9jy3eBXX,QHJ9KMR6c0,2026-08-28 23:20:04,20,3,False,False,False,True
Sm4PrN7cyf,Q5Dnb16eDZ,2026-08-31 16:59:57,1000,1,False,False,False,False
SnFKQiJIuv,QquEimEOU8,2026-08-31 11:46:42,201,1,False,False,False,True
SrO2iKr6xo,QLrcXogjG4,2026-08-29 15:27:24,20,7,True,False,False,False
Sy64D5K31o,Qc9unS1iN4,2026-08-28 21:02:28,20,3,False,False,False,True
