parameter_id,distribution,conditioning,outcome,n,numerator,denominator,prior_alpha,prior_beta,posterior_alpha,posterior_beta,posterior_total,posterior_mean,sparse_flag,source_metric_id,uncertainty_rule
p_zero_result_rate,Beta,search_id,0건률,296,147,296,1,1,148,150,298,0.496644295,0,zero_result_rate,"Beta(1,1); sparse if n<30 or either outcome cell<5"
p_zero_followup_rate,Beta,zero_result_search_id,0건 후 후속검색률,147,140,147,1,1,141,8,149,0.946308725,0,zero_followup_rate,"Beta(1,1); sparse if n<30 or either outcome cell<5"
p_immediate_recovery_rate,Beta,zero_to_next_search_transition,즉시 회복률,140,24,140,1,1,25,117,142,0.176056338,0,immediate_recovery_rate,"Beta(1,1); sparse if n<30 or either outcome cell<5"
p_session_final_recovery_rate,Beta,session_id_experiencing_zero,세션 최종 회복률,28,21,28,1,1,22,8,30,0.733333333,1,session_final_recovery_rate,"Beta(1,1); sparse if n<30 or either outcome cell<5"
p_card_g_direct_success,Beta,session_id,카드 G direct_success,43,27,43,1,1,28,17,45,0.622222222,0,card_g_direct_success,"Beta(1,1); sparse if n<30 or either outcome cell<5"
p_card_g_exposed_unselected,Beta,session_id,카드 G exposed_unselected,43,10,43,1,1,11,34,45,0.244444444,0,card_g_exposed_unselected,"Beta(1,1); sparse if n<30 or either outcome cell<5"
p_card_g_persistent_failure,Beta,session_id,카드 G persistent_failure,43,2,43,1,1,3,42,45,0.066666667,1,card_g_persistent_failure,"Beta(1,1); sparse if n<30 or either outcome cell<5"
p_card_g_requery_recovery,Beta,session_id,카드 G requery_recovery,43,4,43,1,1,5,40,45,0.111111111,1,card_g_requery_recovery,"Beta(1,1); sparse if n<30 or either outcome cell<5"
p_card_h_rank1_detail_event,Beta,rank1_search_result_exposure_row,카드 H 1위 상세진입,149,110,149,1,1,111,40,151,0.735099338,0,card_h_rank1_detail_event,"Beta(1,1); sparse if n<30 or either outcome cell<5"
p_active_filters_ge3_zero_rate,Beta,search_id,활성 필터 3개 이상 결합 0건률,160,119,160,1,1,120,42,162,0.740740741,0,active_filters_ge3_zero_rate,"Beta(1,1); sparse if n<30 or either outcome cell<5"
